symbol,side,amount,price
BTCUSDT,buy,0.01,275.0677
BTCUSDT,sell,0.01,274.9107
BTCUSDT,buy,0.01,274.6968
BTCUSDT,sell,0.01,274.4809
BTCUSDT,buy,0.01,274.2464
BTCUSDT,sell,0.01,274.3607
BTCUSDT,buy,0.01,274.8859
BTCUSDT,sell,0.01,274.4454
BTCUSDT,buy,0.01,274.704
BTCUSDT,sell,0.01,274.6194
BTCUSDT,buy,0.01,275.0001
BTCUSDT,sell,0.01,274.9917
BTCUSDT,buy,0.01,274.8001
BTCUSDT,sell,0.01,274.41080000000005
BTCUSDT,buy,0.01,275.1001
BTCUSDT,sell,0.01,275.0838
BTCUSDT,buy,0.01,274.9448
BTCUSDT,sell,0.01,275.15610000000004
BTCUSDT,buy,0.01,275.2397
BTCUSDT,sell,0.01,275.03700000000003
BTCUSDT,buy,0.01,275.1071
BTCUSDT,sell,0.01,274.6035
BTCUSDT,buy,0.01,275.8299
BTCUSDT,sell,0.01,275.9429
BTCUSDT,buy,0.01,275.9013
BTCUSDT,sell,0.01,276.0364
BTCUSDT,buy,0.01,275.9601
BTCUSDT,sell,0.01,276.0575
BTCUSDT,buy,0.01,276.0147
BTCUSDT,sell,0.01,276.02950000000004
BTCUSDT,buy,0.01,276.20009999999996
BTCUSDT,sell,0.01,275.7797
BTCUSDT,buy,0.01,275.7825
BTCUSDT,sell,0.01,275.80310000000003
BTCUSDT,buy,0.01,275.6817
BTCUSDT,sell,0.01,274.5723
BTCUSDT,buy,0.01,278.8542
BTCUSDT,sell,0.01,277.6434
BTCUSDT,buy,0.01,277.8872
BTCUSDT,sell,0.01,277.5526
BTCUSDT,buy,0.01,277.8109
BTCUSDT,sell,0.01,277.45887967
BTCUSDT,buy,0.01,277.1249
BTCUSDT,sell,0.01,277.19599999999997
BTCUSDT,buy,0.01,277.0173
BTCUSDT,sell,0.01,277.166
BTCUSDT,buy,0.01,277.4046
BTCUSDT,sell,0.01,277.1717
BTCUSDT,buy,0.01,277.63759999999996
BTCUSDT,sell,0.01,277.72290000000004
BTCUSDT,buy,0.01,277.5651
BTCUSDT,sell,0.01,277.5873
BTCUSDT,buy,0.01,277.5005
BTCUSDT,sell,0.01,277.7053
BTCUSDT,buy,0.01,277.7445
BTCUSDT,sell,0.01,277.4545
BTCUSDT,buy,0.01,277.5272
BTCUSDT,sell,0.01,277.10562024
BTCUSDT,buy,0.01,277.3625
BTCUSDT,sell,0.01,277.53090000000003
BTCUSDT,buy,0.01,277.4011
BTCUSDT,sell,0.01,277.5298
BTCUSDT,buy,0.01,277.42580000000004
BTCUSDT,sell,0.01,276.6401
BTCUSDT,buy,0.01,276.8585
BTCUSDT,sell,0.01,276.7302
BTCUSDT,buy,0.01,276.7002
BTCUSDT,sell,0.01,275.4925
BTCUSDT,buy,0.01,275.0122
BTCUSDT,sell,0.01,274.7524
BTCUSDT,buy,0.01,274.4268
BTCUSDT,sell,0.01,274.38779999999997
